288,36,313,78
288.079,52.1539,312.487,93.1593
297.021,24.7637,323.103,68.5806
305.427,30.8032,332.221,75.8168
304.851,41.3311,331.337,85.8286
302.13,43.7342,328.504,88.0425
312.953,67.3485,340.378,113.423
322.264,76.8771,351.248,125.571
327.017,71.9375,356.092,120.782
322.471,43.128,356.891,100.952
319.064,36.4541,353.322,94.0077
315.712,54.4386,349.67,111.488
316.716,59.6911,350.918,117.151
317.038,67.9263,350.767,124.59
323.852,58.8957,357.719,115.792
324.56,53.5379,359.212,111.752
318,92.736,354,153.216
305.425,121.343,340.336,179.994
284.514,120.203,319.908,179.664
277.675,121.605,313.115,181.145
277.436,102.589,312.876,162.129
276.144,88.542,311.842,148.514
272.78,91.2937,308.501,151.304
277.701,100.933,313.517,161.103
279.728,95.9804,315.321,155.778
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
282,4.032,318,64.512
283.506,-10.2679,319.506,50.2121
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
285.12,24.192,328.32,96.768
282.746,23.4655,327.222,98.1856
282.751,33.3193,327.029,107.705
279.655,37.107,325.844,114.704
278.592,46.3616,324.781,123.958
277.798,60.3298,323.033,136.325
262.927,65.3389,308.833,142.462
242.465,56.6911,287.39,132.164
236.398,83.7362,281.614,159.7
257.376,66.7659,303.989,145.076
257.466,26.8709,303.51,104.225
259.494,28.4484,305.479,105.702
267.58,55.6798,313.696,133.154
283.107,81.6757,328.796,158.434
289.433,90.616,334.746,166.742
293.445,98.3808,339.024,174.954
295.002,100.388,339.027,174.35
302.522,107.764,345.942,180.709
301.542,117.776,344.16,189.374
303.402,120.357,345.129,190.458
283.167,97.1676,325.469,168.234
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
278.591,75.0802,321.074,146.451
283.772,72.9564,326.683,145.046
285.752,64.9453,328.912,137.454
288.635,55.7985,332.377,129.286
292.66,59.0984,336.255,132.338
296.821,63.8781,340.427,137.136
298.006,60.843,342.381,135.392
299.868,58.035,344.91,133.705
298.282,57.3423,344.77,135.443
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
287.04,23.2243,336,105.477
287.977,11.38,335.855,91.8146
295.146,-5.49159,344.101,76.7533
299.513,-9.45486,348.468,72.79
297.902,-14.1591,347.855,69.7619
297.1,-14.0613,347.3,70.2753
294.933,4.71275,345.133,89.0494
292.79,32.4897,338.236,108.84
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
